player,draft_year,draft_pick,college,conference,age,height_in,weight_lb,rec_per_game,yards_per_game,yards_per_reception,yard_share,td_share,forty,vertical,broad_jump,bmi,speed_score,nfl_value,predicted_nfl_value,model_grade,model_rank,market_rank,sleeper_score
Demo Receiver 060,2019,208,Demo State 12,Conference E,20.7,70.7,186.0,4.5,67.9,15.088888888888889,0.2350294219453098,0.1923076923076923,4.75,37.5,103.0,26.15950016905105,73.07494571097521,7830,7808.938486936974,34.8,17,25,8
Demo Receiver 140,2022,104,Demo State 20,Conference E,21.7,75.4,184.0,6.9,111.1,16.10144927536232,0.2614117647058823,0.3793103448275862,4.45,29.9,119.0,22.752569848517894,93.84427311099708,22331,22783.043859498386,87.6,6,13,7
Demo Receiver 026,2018,141,Demo State 2,Conference A,19.5,73.1,192.0,5.571428571428571,76.0,13.64102564102564,0.2688905736669194,0.32,4.66,38.5,128.0,25.259328431528505,81.43058552831152,16378,15196.460871917958,70.0,12,19,7
Demo Receiver 110,2021,129,Demo State 14,Conference E,20.2,75.4,212.0,4.888888888888889,81.55555555555556,16.681818181818183,0.1876757862439274,0.21875,4.63,35.4,131.0,26.21491743416192,92.26604236963674,12294,14971.244724148874,69.0,9,16,7
Demo Receiver 127,2022,134,Demo State 7,Conference B,22.5,71.7,189.0,6.642857142857143,90.64285714285714,13.64516129032258,0.3574647887323943,0.3214285714285714,4.75,32.2,119.0,25.84513576442989,74.25357386760383,12397,14182.186713544466,65.2,11,18,7
Demo Receiver 039,2019,158,Demo State 15,Conference D,22.7,78.6,186.0,4.928571428571429,82.21428571428571,16.681159420289855,0.2784228350266086,0.5,4.58,29.1,118.0,21.16523901093565,84.54365665542367,6118,13886.031265791626,64.3,10,17,7
Demo Receiver 177,2023,174,Demo State 9,Conference B,21.9,74.4,195.0,6.153846153846154,74.76923076923077,12.15,0.2034323984930933,0.3333333333333333,4.69,41.9,110.0,24.76532691640652,80.60708874048353,1613,11433.727457103347,53.3,15,22,7
Demo Receiver 042,2019,198,Demo State 18,Conference B,20.1,74.9,198.0,4.5,62.35714285714285,13.857142857142858,0.2400990099009901,0.2666666666666666,4.56,30.3,127.0,24.81172047821661,91.58741790570124,2153,11342.4208285932,52.4,15,22,7
Demo Receiver 129,2022,166,Demo State 9,Conference D,20.4,74.3,205.0,4.285714285714286,50.42857142857143,11.766666666666667,0.2316272965879265,0.25,4.45,36.8,109.0,26.10547252146096,104.55476080301304,10639,11221.444033775138,50.5,16,23,7
Demo Receiver 147,2022,174,Demo State 3,Conference B,20.6,72.7,168.0,5.555555555555555,74.77777777777777,13.46,0.1755804852595878,0.238095238095238,4.57,34.7,128.0,22.345793702899936,77.03258593757504,2569,10476.469069616478,47.1,18,25,7
Demo Receiver 123,2022,181,Demo State 3,Conference C,19.7,75.3,193.0,4.636363636363637,64.36363636363636,13.882352941176473,0.1902714324106423,0.108695652173913,4.59,38.3,125.0,23.928897072180515,86.96341032067905,5478,10472.91438288977,46.7,19,26,7
Demo Receiver 012,2018,49,Demo State 12,Conference B,19.7,72.2,183.0,7.1,136.6,19.239436619718308,0.4260761072988147,0.3611111111111111,4.57,37.6,117.0,24.6792535355008,83.91049539628709,33650,31980.843311079545,98.6,1,7,6
Demo Receiver 011,2018,171,Demo State 11,Conference A,22.4,78.1,173.0,5.166666666666667,70.41666666666667,13.629032258064516,0.2253934382502,0.3478260869565217,4.48,37.0,116.0,19.938815760351897,85.89424028440295,9032,11274.871602161558,51.4,16,22,6
Demo Receiver 098,2021,164,Demo State 2,Conference C,21.4,73.9,199.0,4.428571428571429,70.07142857142857,15.82258064516129,0.2474772956609485,0.2666666666666666,4.61,30.6,116.0,25.616484258982894,88.12099058929013,13443,10789.21500997659,48.1,15,21,6
Demo Receiver 191,2024,217,Demo State 23,Conference A,20.3,69.9,173.0,5.8,68.9,11.879310344827584,0.240572625698324,0.1515151515151515,4.62,29.6,128.0,24.89127120083667,75.9465756154568,10007,8903.920216664214,40.0,19,25,6
Demo Receiver 045,2019,213,Demo State 21,Conference E,22.1,73.3,220.0,4.3,70.6,16.41860465116279,0.1653395784543325,0.1142857142857142,4.81,35.9,120.0,28.785253373882583,82.20010475308223,9117,6339.136702905605,25.7,20,26,6
Demo Receiver 159,2023,248,Demo State 15,Conference D,23.4,73.3,192.0,7.0,63.7,9.1,0.1852282640302413,0.1851851851851851,4.64,36.8,114.0,25.12167567175208,82.84366468207122,11571,6323.780691504585,24.8,24,30,6
Demo Receiver 014,2018,94,Demo State 14,Conference D,22.3,73.9,185.0,5.357142857142857,103.42857142857144,19.30666666666667,0.4649967886962106,0.4193548387096774,4.69,32.7,123.0,23.814319537245407,76.4733918819972,15398,20287.40155866703,81.9,6,11,5
Demo Receiver 038,2019,79,Demo State 14,Conference C,20.1,71.0,195.0,5.75,92.08333333333331,16.014492753623188,0.2939611598829476,0.2692307692307692,4.67,27.8,117.0,27.194009125173576,81.99683413330882,20753,16459.93227516878,73.8,5,10,5
Demo Receiver 025,2018,132,Demo State 1,Conference E,22.1,74.5,205.0,6.0,79.9,13.316666666666666,0.2331485264079369,0.3076923076923077,4.54,35.9,121.0,25.965497049682448,96.5073621817218,15056,15142.71949159192,69.5,13,18,5
Demo Receiver 182,2024,177,Demo State 14,Conference B,22.5,71.9,191.0,7.1,78.1,11.0,0.1688283614353653,0.2222222222222222,4.53,32.2,127.0,25.97352604935382,90.71321409257588,5504,11564.755863928141,53.8,15,20,5
Demo Receiver 155,2023,186,Demo State 11,Conference E,20.2,72.5,167.0,6.6,76.0,11.515151515151516,0.231990231990232,0.1666666666666666,4.67,33.6,116.0,22.33550535077289,70.22292974493627,12874,10423.13954405185,46.2,18,23,5
Demo Receiver 004,2018,204,Demo State 4,Conference D,22.8,73.1,203.0,4.0,55.84615384615385,13.961538461538462,0.2529616724738676,0.21875,4.51,35.8,112.0,26.70647745625149,98.13408242176844,9362,8186.712789851075,36.2,21,26,5
Demo Receiver 047,2019,217,Demo State 23,Conference B,22.0,75.8,201.0,3.6666666666666665,56.16666666666666,15.318181818181818,0.199349304939367,0.1666666666666666,4.65,36.5,124.0,24.59308275492373,85.9833262128391,4665,5648.225421880361,21.4,23,28,5
Demo Receiver 075,2020,225,Demo State 3,Conference E,23.3,75.8,186.0,3.090909090909091,56.54545454545455,18.294117647058822,0.1934681181959564,0.1666666666666666,4.71,35.4,120.0,22.757778071720477,75.58912382958432,0,2062.224662140161,8.6,24,29,5
Demo Receiver 198,2024,44,Demo State 6,Conference C,19.8,74.3,214.0,7.0,115.72727272727272,16.532467532467532,0.3686649290472053,0.25,4.6,33.7,114.0,27.25156643703729,95.58999574758526,18648,27134.251008892745,95.2,1,5,4
Demo Receiver 064,2020,60,Demo State 16,Conference D,23.0,72.6,196.0,7.0,109.0,15.571428571428571,0.2215947594307657,0.35,4.71,34.3,122.0,26.14196055217844,79.65305521827166,19566,16823.467701457215,76.7,8,12,4
Demo Receiver 005,2018,107,Demo State 5,Conference E,22.0,75.1,187.0,6.444444444444445,88.77777777777777,13.775862068965518,0.1901475487862922,0.32,4.53,34.2,129.0,23.3086466158748,88.81346091786224,18494,15291.757085146215,70.5,11,15,4
Demo Receiver 088,2020,74,Demo State 16,Conference C,22.5,77.0,218.0,4.727272727272728,72.27272727272727,15.288461538461538,0.1857042747021723,0.2580645161290322,4.55,30.1,122.0,25.84820374430764,101.72809285301672,12844,11613.772248773563,55.2,12,16,4
Demo Receiver 157,2023,158,Demo State 13,Conference B,19.9,73.2,194.0,3.6666666666666665,66.25,18.068181818181817,0.1901458981104998,0.1612903225806451,4.53,33.9,123.0,25.45276060796082,92.1380289736111,11319,11432.176258823532,52.9,16,20,4
Demo Receiver 120,2021,191,Demo State 24,Conference E,22.1,73.3,199.0,4.928571428571429,67.5,13.695652173913045,0.2898773006134969,0.2,4.73,36.8,114.0,26.037570097284704,79.51306766182005,9444,8541.427720978394,37.1,19,23,4
Demo Receiver 100,2021,228,Demo State 4,Conference E,20.4,74.0,178.0,3.7142857142857135,56.35714285714285,15.173076923076923,0.3282029950083194,0.119047619047619,4.68,35.6,128.0,22.85135135135135,74.21070983242372,12323,7208.335793898887,31.0,23,27,4
Demo Receiver 063,2020,198,Demo State 15,Conference C,23.4,72.0,196.0,4.0,55.72727272727273,13.931818181818182,0.1946031746031746,0.25,4.6,35.3,124.0,26.57947530864197,87.54971573143324,0,4387.511123377605,14.8,21,25,4
Demo Receiver 137,2022,46,Demo State 17,Conference B,23.1,73.0,193.0,6.583333333333333,124.0,18.835443037974684,0.4932051706993702,0.4814814814814814,4.71,32.4,116.0,25.46049915556389,78.43387580166545,33241,25002.862998484397,92.4,3,6,3
Demo Receiver 153,2023,55,Demo State 9,Conference C,20.2,73.6,211.0,6.166666666666667,106.58333333333331,17.283783783783782,0.3330729166666666,0.4583333333333333,4.66,30.5,122.0,27.38307094754254,89.48882055455068,22902,23571.82281147752,88.1,3,6,3
Demo Receiver 162,2023,68,Demo State 18,Conference B,20.8,75.1,189.0,6.461538461538462,80.6923076923077,12.488095238095235,0.3353580562659846,0.4230769230769231,4.35,36.2,128.0,23.557936954012497,105.5686023895265,21338,22182.24513884339,86.7,5,8,3
Demo Receiver 111,2021,103,Demo State 15,Conference A,21.1,73.9,181.0,7.615384615384615,104.23076923076924,13.686868686868689,0.456844234659474,0.2666666666666666,4.74,30.6,116.0,23.29941533103469,71.71255629848906,20053,20141.794109316757,81.4,6,9,3
Demo Receiver 179,2023,72,Demo State 11,Conference D,22.9,75.6,193.0,6.454545454545454,110.9090909090909,17.183098591549296,0.2756439222774514,0.3939393939393939,4.6,32.8,114.0,23.739361999944016,86.20966906207457,27248,19953.7469083767,81.0,6,9,3
Demo Receiver 013,2018,102,Demo State 13,Conference C,22.0,69.6,193.0,7.454545454545454,100.45454545454544,13.475609756097562,0.3788138498457319,0.2692307692307692,4.82,35.4,118.0,28.00877757960101,71.51533077881004,19040,16709.844704534837,75.2,10,13,3
Demo Receiver 151,2023,105,Demo State 7,Conference A,21.8,71.1,208.0,5.461538461538462,90.0,16.47887323943662,0.2963525835866261,0.2857142857142857,4.66,30.0,132.0,28.9254056705854,88.21646765567083,8732,15520.270696997828,71.0,9,12,3
Demo Receiver 206,2024,130,Demo State 14,Conference A,22.9,71.8,206.0,5.6923076923076925,88.61538461538461,15.567567567567568,0.2822837539818671,0.3181818181818182,4.63,32.0,111.0,28.09141766435704,89.65473928370362,17563,14527.539800683098,66.7,9,12,3
Demo Receiver 202,2024,140,Demo State 10,Conference B,21.9,70.9,185.0,5.666666666666667,75.88888888888889,13.392156862745098,0.2,0.1612903225806451,4.4,37.8,111.0,25.872272872855746,98.71678847073284,21805,13582.924261210524,62.4,10,13,3
Demo Receiver 008,2018,144,Demo State 8,Conference C,22.3,71.9,203.0,6.916666666666667,63.5,9.180722891566266,0.1716216216216216,0.217391304347826,4.49,39.4,111.0,27.60537061789961,99.8942911696976,7175,11219.803248950644,50.0,17,20,3
Demo Receiver 173,2023,207,Demo State 5,Conference C,22.5,72.9,186.0,5.454545454545454,65.63636363636364,12.033333333333331,0.228988265144307,0.2,4.65,33.8,127.0,24.60442457394141,79.5666600775526,4481,6777.2949455611,28.1,23,26,3
Demo Receiver 105,2021,238,Demo State 9,Conference E,23.4,68.5,203.0,4.230769230769231,68.92307692307692,16.29090909090909,0.3040380047505938,0.3333333333333333,4.78,29.4,113.0,30.41376738238585,77.77042049337884,3358,6386.25073270217,26.7,26,29,3
Demo Receiver 185,2024,228,Demo State 17,Conference E,20.5,70.8,198.0,3.3846153846153846,43.76923076923077,12.931818181818182,0.1518953550453817,0.2083333333333333,4.58,41.9,136.0,27.768600976730827,89.99808611706392,4694,5184.601495836639,18.1,24,27,3
Demo Receiver 093,2021,244,Demo State 21,Conference C,22.5,76.0,201.0,4.4,52.5,11.931818181818182,0.1559251559251559,0.1153846153846153,4.6,37.1,126.0,24.463815789473685,89.78312684703103,321,4080.865428843703,13.3,27,30,3
Demo Receiver 074,2020,224,Demo State 2,Conference D,20.0,72.8,197.0,3.8181818181818175,48.54545454545455,12.714285714285714,0.1750245821042281,0.1142857142857142,4.79,31.7,125.0,26.13116622388601,74.84351368493277,8009,1999.2430546618743,7.6,25,28,3
Demo Receiver 164,2023,24,Demo State 20,Conference D,22.8,73.7,206.0,7.785714285714286,137.92857142857142,17.71559633027523,0.5714708493637171,0.34375,4.67,36.4,127.0,26.66168356441549,86.62229657159803,24447,31317.030386771006,98.1,1,3,2
Demo Receiver 062,2020,34,Demo State 14,Conference B,21.7,73.6,219.0,6.916666666666667,109.08333333333331,15.771084337349398,0.427219321148825,0.375,4.42,32.5,121.0,28.42129164697543,114.7585449548989,29112,29129.119743830386,96.7,3,5,2
Demo Receiver 186,2024,38,Demo State 18,Conference A,21.2,73.9,191.0,7.538461538461538,115.23076923076924,15.285714285714286,0.4547662416514875,0.3448275862068966,4.6,35.1,129.0,24.586675846561477,85.31630461583545,28299,26355.124812595954,94.3,2,4,2
Demo Receiver 027,2018,32,Demo State 3,Conference B,20.0,76.7,213.0,6.214285714285714,92.71428571428572,14.919540229885058,0.3865396069088743,0.2758620689655172,4.41,35.0,126.0,25.453306113151868,112.6303000875862,31360,26301.888678462645,93.8,4,6,2
Demo Receiver 149,2022,63,Demo State 5,Conference D,21.7,76.0,220.0,5.153846153846154,85.6923076923077,16.62686567164179,0.3234610917537747,0.3,4.43,37.1,124.0,26.776315789473685,114.24514983603888,18267,21876.014415321923,86.2,7,9,2
Demo Receiver 073,2020,46,Demo State 1,Conference C,19.4,76.1,201.0,5.909090909090909,98.63636363636364,16.692307692307693,0.2184857027788965,0.1951219512195122,4.53,30.0,124.0,24.399564167073898,95.46259702935996,18653,20493.9498081489,83.3,6,8,2
Demo Receiver 190,2024,56,Demo State 22,Conference E,20.0,73.4,190.0,5.923076923076923,95.76923076923076,16.16883116883117,0.2785234899328859,0.5,4.63,35.5,124.0,24.79229929689878,82.69126438788197,23778,20405.46267399579,82.9,5,7,2
Demo Receiver 048,2019,41,Demo State 24,Conference C,22.1,74.1,206.0,5.857142857142857,86.21428571428571,14.71951219512195,0.3199893955461294,0.3571428571428571,4.6,33.8,119.0,26.37461503858265,92.0165379626288,19579,17012.423272948185,78.1,4,6,2
Demo Receiver 132,2022,96,Demo State 12,Conference B,19.7,72.9,223.0,5.923076923076923,76.15384615384616,12.857142857142858,0.4004854368932038,0.1818181818181818,4.75,34.3,119.0,29.49885311822008,87.61135964272835,18432,16513.301014190434,74.3,10,12,2
Demo Receiver 036,2019,107,Demo State 12,Conference A,20.8,75.2,197.0,3.5,68.14285714285714,19.46938775510204,0.3616376042456406,0.2352941176470588,4.7,33.1,138.0,24.489835615663196,80.74298299417522,7924,11986.049092034116,56.7,12,14,2
Demo Receiver 166,2023,121,Demo State 22,Conference A,22.0,72.9,196.0,5.6923076923076925,76.0,13.35135135135135,0.2764409625069949,0.2058823529411764,4.64,36.7,115.0,25.92724309942213,84.5695743629477,10390,11831.863317959538,56.2,13,15,2
Demo Receiver 090,2020,72,Demo State 18,Conference E,21.0,69.5,180.0,4.75,71.08333333333333,14.964912280701755,0.2572376357056695,0.1794871794871795,4.57,36.4,109.0,26.197401790797574,82.53491350454469,11542,10714.881679098477,47.6,13,15,2
Demo Receiver 204,2024,211,Demo State 12,Conference D,22.5,70.9,165.0,4.642857142857143,80.07142857142857,17.246153846153845,0.2690830532885261,0.2777777777777778,4.73,34.8,114.0,23.075270400114583,65.92792042311711,10904,8325.337970093462,36.7,21,23,2
Demo Receiver 068,2020,85,Demo State 20,Conference C,22.6,74.0,203.0,4.333333333333333,62.11111111111112,14.333333333333334,0.1479227308811855,0.1666666666666666,4.56,38.8,127.0,26.06081081081081,93.90023148917857,6114,7356.286309682011,32.9,16,18,2
Demo Receiver 106,2021,225,Demo State 10,Conference A,21.9,72.5,209.0,3.769230769230769,52.53846153846154,13.93877551020408,0.1586158848118903,0.1470588235294117,4.5,36.4,128.0,27.95281807372176,101.93568053650358,0,7047.510575478778,30.0,24,26,2
Demo Receiver 067,2020,121,Demo State 19,Conference B,20.2,72.9,187.0,4.9,60.4,12.326530612244898,0.133451171011931,0.1290322580645161,4.63,31.4,105.0,24.736706426489484,81.38561284491541,3736,5841.495960371099,22.4,18,20,2
Demo Receiver 183,2024,233,Demo State 15,Conference C,23.2,73.0,191.0,4.363636363636363,57.54545454545455,13.1875,0.2259907176008568,0.2068965517241379,4.67,40.3,123.0,25.196659786076182,80.31484779211274,13153,4604.382680914632,16.2,26,28,2
Demo Receiver 188,2024,246,Demo State 20,Conference C,21.9,73.4,199.0,3.555555555555556,53.22222222222222,14.96875,0.1179512435360748,0.125,4.74,39.0,130.0,25.966671368857146,78.84419173148798,5623,1891.9570163571789,6.7,27,29,2
Demo Receiver 141,2022,29,Demo State 21,Conference A,21.9,72.4,190.0,7.214285714285714,149.57142857142858,20.73267326732673,0.786626596543952,0.6,4.63,33.4,118.0,25.48189920942584,82.69126438788197,36754,39194.05393823576,100.0,1,2,1
Demo Receiver 136,2022,37,Demo State 16,Conference A,21.5,76.4,192.0,7.272727272727272,119.63636363636364,16.45,0.3523427041499331,0.3529411764705882,4.54,34.2,117.0,23.124366108385185,90.38738311653944,29349,26067.789733628277,93.3,2,3,1
Demo Receiver 169,2023,49,Demo State 1,Conference D,19.9,73.4,195.0,5.833333333333333,103.5,17.742857142857144,0.3780821917808219,0.3478260869565217,4.66,36.0,111.0,25.444728225764536,82.7029384271914,19290,22701.13733402911,87.1,4,5,1
Demo Receiver 071,2020,35,Demo State 23,Conference A,19.6,72.1,196.0,7.727272727272727,94.0,12.16470588235294,0.3236306729264476,0.2432432432432432,4.52,29.6,126.0,26.505796964841178,93.91443017590456,15897,21864.990444607116,85.7,5,6,1
Demo Receiver 119,2021,65,Demo State 23,Conference D,19.5,72.8,194.0,7.111111111111111,120.22222222222224,16.90625,0.2344020797227036,0.32,4.82,33.9,109.0,25.73322968240551,71.88587653414066,22592,21475.972821816868,85.2,5,6,1
Demo Receiver 131,2022,66,Demo State 11,Conference A,20.0,73.4,179.0,6.6923076923076925,79.23076923076923,11.839080459770114,0.276732939279957,0.1935483870967742,4.5,39.0,123.0,23.356955653394117,87.30376467001982,17734,16838.637473803836,77.1,9,10,1
Demo Receiver 195,2024,160,Demo State 3,Conference E,20.1,73.3,213.0,5.142857142857143,70.78571428571429,13.76388888888889,0.2436086529006883,0.391304347826087,4.85,35.9,123.0,27.86935894834996,76.99147584853877,16862,11284.174127071605,51.9,16,17,1
Demo Receiver 097,2021,122,Demo State 1,Conference B,21.9,74.3,168.0,7.111111111111111,90.88888888888889,12.78125,0.239882697947214,0.2,4.7,29.0,112.0,21.39375309075825,68.8569601168601,8241,11258.347064880887,51.0,14,15,1
Demo Receiver 121,2022,159,Demo State 1,Conference A,22.8,69.8,189.0,5.888888888888889,84.33333333333333,14.320754716981131,0.2032128514056224,0.2608695652173913,4.73,36.4,116.0,27.27132782161066,75.51743612102507,6752,9610.324330584122,42.9,21,22,1
Demo Receiver 146,2022,167,Demo State 2,Conference A,20.9,76.8,220.0,3.9,53.4,13.692307692307692,0.2068164213787761,0.1290322580645161,4.61,40.1,117.0,26.22138129340278,97.42019060122529,7881,8802.869587040292,39.0,23,24,1
Demo Receiver 054,2019,177,Demo State 6,Conference D,20.3,71.1,188.0,4.357142857142857,50.07142857142857,11.491803278688524,0.2033062645011601,0.131578947368421,4.5,36.2,126.0,26.144116663798343,91.69333942996496,9519,7344.829059510661,32.4,19,20,1
Demo Receiver 130,2022,205,Demo State 10,Conference E,23.0,72.4,218.0,2.857142857142857,51.07142857142857,17.875,0.2232282235404308,0.2222222222222222,4.63,38.4,114.0,29.237126461341223,94.87734545556984,3092,5771.122003952777,21.9,26,27,1
Demo Receiver 170,2023,227,Demo State 2,Conference E,22.5,70.3,206.0,3.571428571428572,55.57142857142857,15.56,0.2183553185517822,0.1666666666666666,4.64,37.9,111.0,29.302987197724043,88.88434856513892,1358,5394.706176617008,19.5,27,28,1
Demo Receiver 148,2022,207,Demo State 4,Conference C,22.9,72.5,196.0,3.7777777777777777,52.0,13.764705882352942,0.1437346437346437,0.0857142857142857,4.42,35.8,119.0,26.214126040428063,102.70627767653052,10033,5343.915894012971,19.0,27,28,1
Demo Receiver 086,2020,124,Demo State 14,Conference A,22.3,78.0,183.0,4.9,64.0,13.06122448979592,0.1717198819425811,0.1538461538461538,4.7,36.7,122.0,21.145463510848128,75.00490298443688,1040,4734.780207650343,16.7,20,21,1
Demo Receiver 175,2023,238,Demo State 7,Conference E,20.3,75.5,184.0,4.2,51.8,12.333333333333334,0.1415300546448087,0.1666666666666666,4.62,32.8,119.0,22.69233805534845,80.7755486314685,2473,4323.022307645703,14.3,28,29,1
Demo Receiver 061,2020,11,Demo State 13,Conference A,21.3,73.1,223.0,7.181818181818182,132.54545454545453,18.455696202531644,0.4576271186440678,0.3846153846153846,4.48,31.2,108.0,29.337657501202376,110.71916522209166,35218,33958.452366293815,99.5,1,1,0
Demo Receiver 084,2020,21,Demo State 12,Conference D,21.4,74.6,216.0,7.666666666666667,137.25,17.902173913043477,0.421875,0.2972972972972973,4.54,33.8,121.0,27.285468881397843,101.68580600610686,33949,32562.242635153303,99.0,2,2,0
Demo Receiver 058,2019,12,Demo State 10,Conference C,20.3,73.6,210.0,6.846153846153846,123.23076923076924,18.0,0.3942899335466404,0.4117647058823529,4.57,38.8,127.0,27.253293360113425,96.2907324219688,32715,30604.59959326572,97.6,1,1,0
Demo Receiver 015,2018,17,Demo State 15,Conference E,21.0,73.9,209.0,6.923076923076923,104.0,15.022222222222222,0.4772326156018355,0.6666666666666666,4.52,37.1,112.0,26.903744774509672,100.14344850389824,30810,29677.024298708966,97.1,2,2,0
Demo Receiver 030,2018,20,Demo State 6,Conference E,19.5,75.1,232.0,7.272727272727272,111.72727272727272,15.3625,0.4955645161290322,0.25,4.71,36.0,126.0,28.91767922397301,94.28320821754605,27237,28874.71042172307,96.2,3,3,0
Demo Receiver 092,2021,21,Demo State 20,Conference B,20.8,77.2,203.0,6.769230769230769,122.3076923076923,18.068181818181817,0.3803827751196172,0.3888888888888889,4.65,35.6,114.0,23.94510590888346,86.83888169754397,26179,27197.316781346526,95.7,1,1,0
Demo Receiver 070,2020,24,Demo State 22,Conference E,20.0,74.8,185.0,7.272727272727272,109.8181818181818,15.1,0.3820366856419987,0.2727272727272727,4.48,37.5,117.0,23.2446953015528,91.85222226944823,30970,26643.973404911245,94.8,4,4,0
Demo Receiver 178,2023,17,Demo State 10,Conference C,20.2,72.4,196.0,6.571428571428571,106.42857142857144,16.195652173913043,0.3656441717791411,0.5217391304347826,4.61,38.6,123.0,26.286590763407705,86.79253344472797,27861,25479.808675084354,92.9,2,2,0
Demo Receiver 102,2021,26,Demo State 6,Conference B,20.0,78.7,204.0,5.923076923076923,94.84615384615384,16.01298701298701,0.2888264230498946,0.28,4.41,40.0,114.0,23.154533081248815,107.871273323322,29086,24847.152364140136,91.9,2,2,0
Demo Receiver 091,2021,48,Demo State 19,Conference A,19.5,75.7,220.0,6.111111111111111,99.33333333333331,16.254545454545454,0.2261001517450682,0.2162162162162162,4.47,36.8,130.0,26.988966039553333,110.21040135194094,23534,24534.30710412375,90.5,3,3,0
Demo Receiver 094,2021,56,Demo State 22,Conference D,20.8,74.1,196.0,6.818181818181818,108.9090909090909,15.973333333333333,0.3564415352573639,0.2162162162162162,4.56,37.1,128.0,25.09429392020485,90.66229247231033,27975,23845.70309500529,89.5,4,4,0
Demo Receiver 034,2019,17,Demo State 10,Conference D,22.4,70.7,194.0,7.076923076923077,103.92307692307692,14.684782608695652,0.3632696961548803,0.25,4.56,38.8,111.0,27.2846399612683,89.73716703891941,25073,21055.505549476242,84.3,2,2,0
Demo Receiver 056,2019,21,Demo State 8,Conference A,22.5,70.4,174.0,7.083333333333333,118.25,16.694117647058825,0.4068233944954128,0.3076923076923077,4.71,35.8,126.0,24.680801265495862,70.71240616315953,15453,20940.661383792925,83.8,3,3,0
Demo Receiver 072,2020,45,Demo State 24,Conference B,23.1,77.1,223.0,5.928571428571429,88.78571428571429,14.975903614457833,0.357081298477449,0.2424242424242424,4.52,32.1,111.0,26.372507952849823,106.8516220878914,17790,19026.899231724274,79.5,7,7,0
Demo Receiver 168,2023,56,Demo State 24,Conference C,21.0,76.1,188.0,6.3,100.8,16.0,0.2827489481065918,0.275,4.67,37.1,118.0,22.82148290253678,79.05335803621568,15260,18431.463261160294,79.0,7,7,0
